103290364325,00      
093782084952,50      
130428594447,50      
710858024186,00      
702752564053,50      
137962214086,50      
123393724375,50      
147971074135,50      
092384964557,50      
016163634954,00      
092338004316,50      
710677324708,00      
149028674864,50      
099649464228,00      
709045844027,00      
144722934716,00      
146628704705,00      
712200214406,00      
114185144039,50      
075192874756,50      
707847244667,50      
122659034935,00      
141629784764,50      
706054964124,50      
148746774526,50      
092360924548,00      
143707084198,50      
072587294298,00      

