087188994395,25      
113120144235,25      
112629304050,00      
086294744835,50      
110057254622,25      
133316784901,50      
087401904473,25      
145873444782,00      
131638954502,50      
715126724088,00      
706388154014,75      
107744224676,00      
134458914605,75      
060806405034,25      
159417294303,50      
117237284547,25      
706068374772,75      
092797714185,00      
094196424881,75      
709024344388,50      
110288494435,75      
116877634108,00      
062856454696,00      
060830474391,50      
146640354383,00      
063048114893,00      
141440984272,00      
051194584162,00      
143913454554,25      
158020344241,50      
709144034006,25      
703397734482,75      
714001354353,50      
104571774623,00      
081884235052,75      
103344284404,50      
714306554452,75      
144384344087,25      
712411584100,00      
109448354065,25      
132309424503,50      
098373334132,25      
139162884584,00      
131504924402,00      
085983914172,75      
129582644590,00      
711459614602,50      
117350884800,00      
708465254025,75      
711369614701,50      
118581004881,50      
065172995563,75      
053418524004,00      

